;Graphique n° 11 : contribution des dépenses aux variations du solde structurel des différentes branches (2000-2016);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19
0;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;
23;;;1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0
24;;Maladie;0.0;-2.827071103092067;-4.138415923352311;-8.004224921431108;-11.461816614592133;-13.072642635922268;-13.412572835185523;-12.814487722384378;-12.324105824736664;-12.089003588945197;-15.896550461576254;-16.214697257814887;-17.2276149921736;-17.666806716268276;-18.38568090201359;-19.574246725585812;-19.959010405997702;-19.389312725997748
25;;Vieillesse;0.0;0.26489795235450747;0.4307819343374854;0.3383061167848531;1.0498464316574758;0.0005433025005341374;-1.2483725791037308;-1.3829696646669256;-3.9280117412101565;-4.699746704032636;-8.78454843848565;-10.24012395668874;-13.13343779103604;-14.891901114342188;-16.992167066380787;-17.76701468959881;-17.661084490305516;-16.657850684176438
26;;Famille;0.0;0.525636466247451;0.6793636538871725;0.1126474219573732;0.7551601404468955;0.22849605043358268;-0.5621152753652192;-0.4891419021794201;0.31718451213403376;-0.3643899082535914;-0.06363574508209008;0.1580992359269884;0.09814952480730268;-0.42314550955366903;-0.9475356385972747;-0.8870943348138992;0.24191161560894348;1.1804637121029644
27;;AT-MP;0.0;0.5260325980770868;0.6834078380153845;0.13043155376391702;0.6331297729537952;0.11930564971444468;-0.14421957604392716;-0.6121879373794694;0.3721147801723813;-0.08625049725012479;-0.2597445926790995;-0.15608797445722122;-0.4733951844238892;-0.9892294528574912;-1.5653317300259848;-1.5132763312709887;-0.3994051477370588;0.5237247917355692
