;Graphique n° 14 : cumuls comparés des variations annuelles du solde de la sécurité sociale et de celui du budget de l’État (2000-2016);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
0;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;
5;;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016 (p)
6;évolution du solde sécurité sociale;2022.0;3345.0;-1773.0;-10277.0;-11567.0;-13168.0;-6883.0;-6182.0;-11063.0;-22568.0;-25889.0;-16967.0;-12417.0;-8059.0;-4994.0;-1603.0;-697
7;évolution du solde Etat;2304.497550906537;-595.5024490934629;-17895.502449093463;-25495.502449093463;-12495.502449093463;-12095.502449093463;-4295.502449093463;-6995.502449093463;-25594.802449093466;-106595.50244909346;-117395.50244909346;-59295.50244909346;-55795.50244909346;-43395.50244909346;-54295.30244909346;-39095.50244909346;-37595.50244909346
8;;;;;;;;;;;;;;;;;-37492.50244909346;
9;évolution du solde Etat (hors mesures exceptionnelles liés à la crise de 2008-2009);2304.497550906537;-595.5024490934629;-17895.502449093463;-25495.502449093463;-12495.502449093463;-12095.502449093463;-4295.502449093463;-6995.502449093463;-25594.802449093466;-67895.50244909346;-67245.50244909346;-63695.50244909346;-55795.50244909346;-43395.50244909346;-54295.30244909346;-39095.50244909346;
