;Graphique n° 2 : évolution par branche des déficits du régime général et du FSV (2009-2016);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;;Maladie;AT-MP;Famille;Vieillesse + FSV
3;;2009.0;-10.6;-0.7;-1.8;-10.4
4;évolution par branche des déficits du régime général et du FSV  (2009-2015, Md€) ;2010.0;-11.6;-0.7;-2.7;-13
5;;2011.0;-8.6;-0.2;-2.6;-9.5
6;;2012.0;-5.9;-0.2;-2.5;-8.9
7;;2013.0;-6.8;0.6;-3.2;-6
8;;2014.0;-6.5;0.7;-2.7;-4.6
9;;2015.0;-5.8;0.7;-1.5;-4.2
10;;2016.0;-4.8;0.8;-1;-2.7
