;Graphique n° 25 : volume des actes de télémédecine subventionnés par les ARS et dépenses correspondantes;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;(en cumul, 2011-2015);;;;;
1;;;;;;
2;;;;;;
3;NOM DES NOUVELLES REGIONS;Activité;Dépenses (en M€);;;
4;Auvergne Rhône-Alpes;8825;4.6;;;
5;Bourgogne Franche-Comté;16677;10.5;;;
6;Bretagne;57729;3.1;;;
7;Centre Val-de-Loire;593;10.6;;;
8;Corse;1034;1.2;;;
9;Grand-Est;56365;14.2;;;
10;Guadeloupe;286;4;;;
11;Guyane;2309;1.7;;;
12;Hauts-de-France;123266;7.6;;;
13;Île-de-France;51497;21.9;;;
14;Martinique;210;1.7;;;
15;Normandie;83287;6.6;;;
16;Nouvelle-Aquitaine;13232;7.7;;;
17;Occitanie;99771;7.8;;;
18;Pays de la Loire;24908;3.7;;;
19;Provence Alpes-Côte d'Azur;15199;6.4;;;
20;Réunion;1416;0.8;;;
