;Graphique n° 30 : dépenses en faveur de la famille par enfant, en parité de pouvoir d’achat (2013 ou année plus récente);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;;;;;
3;;dépense par enfant en $ ppa;;;;
4;Autriche;8606.130358455881;;;;
5;Belgique;8585.134388130251;;;;
6;Danemark;9717.905684379672;;;;
7;France;8187.638042206471;;;;
8;Allemagne;10004.734380267444;;;;
9;Irlande;7570.5044123486205;;;;
10;Pays-Bas;5156.0362832633045;;;;
11;Espagne;3043.207049882771;;;;
12;Italie;5339.946969529667;;;;
13;Suède;10073.458979328165;;;;
14;Royaume-Uni;8736.660594908419;;;;
15;États-Unis;3036.0008971903085;;;;
