;Graphique n° 34 : taux de pauvreté respectifs des familles avec enfants et de l’ensemble de la population (2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;;;;;
3;;;;;;
4;GEO/TIME;Taux de pauvreté total;Taux de pauvreté moins de 18 ans;;;
5;Espagne;22.1;29.6;;;
6;Italie;19.9;26.8;;;
7;Royaume-Uni;16.7;19.8;;;
8;France;13.6;18.7;;;
9;Belgique;14.9;18;;;
10;Irlande;16.3;17.9;;;
11;Autriche;13.9;17.8;;;
12;Allemagne ;16.7;14.6;;;
13;Pays-Bas;11.6;14;;;
14;Suède;14.5;12.9;;;
15;Danemark;12.2;10.4;;;
