;Graphique n° 35 : taux de pauvreté des familles avec enfant(s) avant;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
0;et après transferts sociaux (2015);;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
3;;;;;;;;;
4;;;;;;;;;
5;GEO/TIME;Avant transferts sociaux;Après transferts sociaux;taux de réduction;;;;GEO/TIME;2015.0
6;Espagne;37.5;29.6;0.21066666666666664;;;;Belgium;18.0
7;Italie;34.4;26.8;0.22093023255813948;;;;Denmark;10.4
8;Royaume-Uni;43;19.8;0.5395348837209302;;;;Germany (until 1990 former territory of the FRG);14.6
9;France;34.1;18.7;0.4516129032258065;;;;Spain;29.6
10;Belgique;32.8;18;0.4512195121951219;;;;France;18.7
11;Autriche;38.9;17.8;0.5424164524421593;;;;Italy;26.8
12;Allemagne;31.3;14.6;0.5335463258785943;;;;Netherlands;14.0
13;Pays-Bas;24.9;14;0.4377510040160642;;;;Austria;17.8
14;Suède;29.4;12.9;0.5612244897959184;;;;Sweden;12.9
15;Danemark;23.1;10.4;0.5497835497835498;;;;United Kingdom;19.8
16;;;;;;;;;
17;Special value:;;;;;;;;
18;:;not available;;;;;;;
