;Graphique n° 36 : taux de pauvreté des familles de deux adultes en fonction du nombre d’enfants (2014, sans enfant = base 100);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;Deux adultes;Deux adultes, un enfant;Deux adultes, deux enfants;Deux adultes, trois enfants et plus;
3;Espagne;100;136.48648648648646;170.94594594594594;297.97297297297297;
4;France;100;176.81159420289853;127.53623188405798;276.81159420289856;
5;Royaume-Uni;100;118.26086956521739;115.65217391304347;267.82608695652175;
6;Autriche;100;65.76576576576578;88.2882882882883;266.6666666666667;
7;Italie;100;124.39024390243902;180.48780487804876;258.5365853658537;
8;Pays-Bas;100;119.71830985915493;125.35211267605635;250.7042253521127;
9;Suède;100;139.72602739726028;86.3013698630137;231.50684931506848;
10;Irlande;100;101.98019801980197;119.80198019801979;195.04950495049505;
11;Danemark;100;123.4375;65.625;193.75;
12;Belgique;100;94.4954128440367;93.57798165137613;183.4862385321101;
13;Allemagne ;100;100;94.78260869565219;121.73913043478262;
