;Graphique n° 37 : taux de pauvreté des familles monoparentales en fonction du nombre d’enfants (2014, sans enfant = base 100);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;;;;;;;
3;;Personne seule;Personne seule avec enfants dépendants;;;;
4;France;100;208.82352941176472;;;;
5;Espagne;100;202.8985507246377;;;;
6;Italie;100;163.04347826086956;;;;
7;Belgique;100;162.5;;;;
8;Irlande;100;146.38297872340425;;;;
9;Autriche;100;133.89830508474577;;;;
10;Pays-Bas;100;124.27184466019416;;;;
11;Royaume-Uni;100;105.53505535055349;;;;
12;Suède;100;100.29761904761905;;;;
13;Allemagne;100;89.36170212765957;;;;
14;Danemark;100;47.794117647058826;;;;
