;Tableau n° 60 : dépenses d’assurance maladie par spécialité chirurgicale (2008-2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;Spécialités chirurgicales;Poids de la spécialité dans les dépenses en 2015;Poids de la spécialité en nombre de séjours produits en 2015;Dépenses 2008;Dépenses 2015;Variation 2008-2015 en € courants;Variation 2008-2015 en € constants
3;;;;(en Md€);(en Md€);;
4;Chirurgie orthopédique et traumatologique;25 %;24,6 %;3.2;4;+22,1 %;+10,5 %
5;Autres spécialités chirurgicales;20,4 %;28,4 %;2.9;3.2;+11,4 %;+0,8 %
6;Chirurgie viscérale et digestive;15,6 %;11,7 %;2.1;2.4;+17,2 %;+6,0 %
7;Chirurgie thoracique et cardio-vasculaire;12,0 %;2,7 %;1.4;1.9;+30,3 %;+17,9 %
8;Chirurgie urologique;6,1 %;6,7 %;0.7;1;+27,7 %;+15,6 %
9;Chirurgie gynécologique;5,6 %;8,1 %;0.8;0.9;+7,7 %;-2,5 %
10;Chirurgie pédiatrique;4,9 %;8,6 %;0.8;0.8;"+0 ;9 %";-8,7 %
11;Chirurgie vasculaire;3,8 %;3,4 %;0.6;0.6;+4,8 %;-5,2 %
12;Neurochirurgie;3,0 %;0,6 %;0.4;0.5;+25,6 %;+13,6 %
13;Chirurgie ORL, maxillo-faciale et stomatologie;2,4 %;3,1 %;0.3;0.4;+19,0 %;+7,7 %
14;Chirurgie endocrinienne;0,9 %;1,1 %;0.1;0.1;+1,9 %;-7,7 %
15;Chirurgie esthétique et de confort;0,0 %;1,0 %;Ns;Ns;Ns;Ns
16;Total;100 %;100 %;13.3;15.6;+17,2 %;+6,1 %
