;Tableau n° 10 : formation du résultat 2016 de la branche maladie;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;;;;;;;;
1;;;;;;;;
2;;2015.0;Variation 2015;2015 pro-forma;2016.0;2016 hors produit de CSG;Variation 2016;Variation*
3;;;en %;;;;en montant*;2016
4;;;;;;;;en % 
5;Charges nettes, dont;173.2;2.9;195.9;199.4;199.4;3.5;1.8
6;Prestations sociales nettes;159.1;2.5;183.4;187.0;187;3.6;2
7;dont prestations nettes dans le champ de l’ONDAM;148.0;2.5;171.4;175.1;175;3.7;2.1
8;dont prestations nettes hors ONDAM;11.1;3.2;12;11.9;12;-0.1;-0.5
9;Transferts nets;8.4;16.7;5.6;5.6;5.6;0;-0.3
10;Charges de gestion courante;5.6;-3.8;6.7;6.7;6.7;0;-0.3
11;Produits nets, dont;167.4;3.5;190.1;194.6;193.8;3.7;2
12;Cotisations sociales brutes;77.6;2;86.1;87.3;87.3;1.2;1.4
13;Cotisations prises en charge par l’État;1.2;21.9;1.5;1.6;1.6;0.1;8.4
14;CSG brute;57.1;2.9;65.8;70.2;69.5;3.7;5.7
15;Impôts, taxes et autres contributions sociales;26.0;7.4;31.8;29.5;29.6;-2.2;-7
16;Transferts nets;3.6;11.8;2.8;2.8;2.8;0;0.5
17;Autre produits techniques;3.6;0.2;3.8;3.9;3.9;0.1;1.6
18;Résultat net;-5.8; ;-5.8;-4.8;-5.5;0.3; 
