;Tableau n° 11 : modification de taux de répartition des prélèvements sociaux et impôts et taxes – effet sur la branche maladie;Unnamed: 1
0;;
1;;
2;;Effet 2016
3;Pertes de recettes;-12.1
4;CSG sur les revenus du capital;-7.1
5;Prélèvement social sur les revenus du capital;-2.5
6;Prélèvement de solidarité sur les revenus du capital;-2.5
7;Compensation;13.1
8;CSG revenus d'activité et de remplacement ;10.1
9;C3S;0.5
10;Taxe sur les salaires;2.3
11;Augmentation de 0,04 point du taux de cotisation patronale;0.2
12;Total;1
