;Tableau n° 13 : formation du résultat 2016 de la branche famille;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;2015.0;Variation 2015 en %;2016.0;Variation 2016 en montant;Variation 2016
3;;;;;;en %
4;Charges nettes;54.3;-8;49.6;-4.7;-8.7
5;dont;;;;;
6;Prestations légales nettes;36.3;-1.5;31.4;-4.9;-13.6
7;Prestations extra-légales nettes;5.0;6.4;5.1;0.2;3.1
8;Transferts versés nets;10.2;-30;10.2;0;0.4
9;Autres charges ;2.9;-1.1;2.9;0;1.3
10;dont charges de gestion courante;2.9;0.2;2.9;0;0
11;Produits nets;52.8;-6.3;48.6;-4.2;-7.9
12;dont;;;;;
13;Cotisations sociales brutes;32.8;-7.2;30.2;-2.7;-8.1
14;CSG ;11.1;2.3;9.9;-1.2;-10.6
15;Impôts, taxes et contributions sociales;7.8;-14.9;6.9;-1;-12.1
16;dont taxe sur les salaires;2.4;-34.3;2.6;0.2;9.5
17;dont taxe spéciale sur les contrats d’assurance ;2.2;2.6;2.3;0.1;3.7
18;Résultat net;-1.5;;-1.0;0.5;
