;Tableau n° 15 : formation du résultat 2015 de la branche vieillesse (régime général);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;2015.0;Variation 2015 en %;2016.0;Variation 2016 en montant;Variation
3;;;;;;2016
4;;;;;;en %
5;Charges nettes;120.5;3.2;122.8;2.3;1.9
6;dont;;;;;
7;Prestations légales nettes;110.6;2.2;113.1;2.5;2.2
8;Prestations extralégales;0.3;1.5;0.3;0;6.6
9;Transferts versés;8.2;19;8.0;-0.1;-1.7
10;dont RSI;1.1;-;1.3;0.2;17.6
11;dont adossement IEG;1.6;0.7;1.6;0;1.2
12;Autres charges nettes;1.4;-2.7;1.4;+0.0;1
13;Produits nets;120.1;3.9;123.7;3.5;2.9
14;dont;;;;;
15;Cotisations sociales;75.1;2.9;77.5;2.4;3.2
16;Impôts et taxes;8.9;25.1;9.8;0.8;9.3
17;dont C3S;1.9;-;1.5;-0.4;-20.1
18;Contributions sociales;5.6;2.2;5.4;-0.2;-3.5
19;dont forfait social;4.0;2.6;5.2;1.2;30.4
20;dont prélèvements sur les revenus du capital;1.4;2.3;0.0;-1.4;-101.3
21;Transferts reçus;29.9;0.8;30.1;0.2;+0.7 
22;Résultat net;-0.3;;0.9;1.2;
