;Tableau n° 17 : formation du résultat 2016 du FSV;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;2015.0;Variation;2016.0;Variation 2016;Variation 2016
3;;;2015;;en montant;en %
4;;;en %;;;
5;Charges nettes;20.5;-0.5;20.3;-0.2;-1
6;Dont;;;;;
7;Transferts des régimes de base avec les fonds;20.1;-0.7;19.8;-0.2;-1.1
8;dont prises en charge de cotisations;13.0;0.5;13.2;0.2;1.5
9;dont prises en charge de prestations;7.1;-2.8;6.7;-0.4;-6
10;Transferts avec les régimes complémentaires;0.3;11.3;0.4;0;8.6
11;Produits nets;16.6;-3.1;16.7;0.1;0.4
12;Dont;;;;;
13;CSG brute;10.8;-1.9;9.5;-1.3;-12.4
14;Contributions sociales;1.2;2.9;7.0;5.7;460.9
15;dont forfait social;1.0;0.3;0.0;-1;-99.7
16;Impôts et taxes bruts;4.6;-8.9;0.4;-4.2;-92.2
17;dont contribution sociale de solidarité des sociétés (C3S);0.8;-67.9;0.0;-0.8;-102.7
18;dont taxe sur les salaires;3.8;50.6;0.3;-3.4;-91
19;Résultat net;-3.9; ;-3.6;-0.3; 
