;Tableau n° 2 : comparaison des soldes de 2016 avec les prévisions;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;Résultat2015;LFSS 2016;LFSS 2017;Résultat 2016;Résultat 2016;Écart
2;;;-1;-2;-3;hors produit de CSG;(3) – (2)
3;Maladie;-5.8;-6.2;-4.1;-4.8;-5.5;-0.7
4;AT-MP;0.7;0.5;0.7;0.8;0.8;0.1
5;Famille;-1.6;-0 8;-1;-1;-1;-
6;Vieillesse;-0.3;0.5;1.1;0.9;0.9;-0.2
7;Régime général;-7;-6;-3.3;-4.1;-4.8;-0.8
8;FSV;-3.9;-3.7;-3.8;-3.6;-3.6;0.2
9;Vieillesse + FSV;-4.2;-4.2;-2.7;-2.8;-2.8;-
10;Total régime général et FSV;-10.9;-9.7;-7.1;-7.8;-8.5;-0.7
11;Régimes obligatoires de base (ROB);-6.4;-5.5;-3.1;-3.4;-4.1;-0.3
12;ROB et FSV;-10.3;-9.2;-6.9;-7;-7.7;-0.1
