;Tableau n° 20 : soldes du régime général et du FSV;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;(CCSS de juillet 2017);;;;;
1;;;;;;
2;;;;;;
3; ;2016*;2017 prévision LFSS 2017;2017 prévision de juillet 2017;2017 écart à la LFSS;Variation 2016/2017
4;;(a);(b);(c);(c)-(b);(c)-(a)
5;Maladie;-4.8;-2.6;-4.1;-1.5;0.7
6;AT-MP;0.8;0.7;0.9;0.2;0.1
7;Famille ;-1;0;0.5;0.5;1.5
8;Vieillesse;0.9;1.6;1.1;-0.5;0.2
9;Total régime général;-4.2;-0.4;-1.6;-1.2;2.6
10;FSV;-3.6;-3.8;-3.9;-0.1;-0.3
11;Vieillesse + FSV;-2.8;-2.2;-2.8;-0.6;0
12;Total régime général + FSV;-7.8;-4.2;-5.5;-1.3;2.3
