;Tableau n° 22 : impact 2017 des mesures nouvelles en recettes sur le régime général et le FSV;Unnamed: 1
0;;
1;;
2;Intitulé de la mesure;Impact sur les recettes nettes consolidées
3;Mesures à compenser liées au pacte et aux autres réductions de charges sociales;-2.5
4;Baisse des cotisations famille;-0.9
5;Extinction de la recette sur les caisses de congés payés;-0.5
6;Baisse des cotisations des travailleurs indépendants;-0.2
7;Relèvement des seuils pour la CSG remplacement;-0.3
8;Crédit d’impôt de taxe sur les salaires;-0.6
9;Mesures de compensation par l’État;+2,7*
10;Dotation budgétaire LFI 2017;2.7
11;Dotation budgétaire à prévoir en PLF 2018;0.6
12;Affectation de la totalité de la TVS;0.1
13;Ajustement de la fraction de TVA affectée la CNAMTS;-0.7
14;Mesures exceptionnelles 2017;1.4
15;Création d’un acompte de C3S;0.4
16;Modification du mode de recouvrement de la taxe sur les véhicules de société (TVS);0.1
17;Affectation à la CNAMTS des réserves de la section III du FSV;0.9
18;Autres mesures;0.6
19;Augmentation des taux de cotisations vieillesse et pénibilité;0.6
20;Contrecoup de la taxation au fil de l’eau de certains contrats d’assurance-vie;-0.2
21;Augmentation des droits tabacs;0.1
22;Création d’une taxe sur les débitants de tabacs;0.1
23;Soldes des autres mesures divers;-0.1
24;Total des mesures en recettes du régime général et du FSV;2.2
