;Tableau n° 33 : ONDAM 2016 voté détaillé par sous-objectif;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;;ONDAM 2015;;ONDAM 2016;;;
3;;Taux d'évolution cible;Taux d'évolution cible;Montant voté ;Taux d'évolution cible;Taux d’évolution avant économies;Économies
4;;en %;révisé;;en %;en %;
5;;;en %;;;;
6;Soins de ville (a) + (b);2.2;2.1;84308;1.7;4.4;2298
7;Produits de santé (a);1;;28662;0.7;6.4;1616
8;Médicaments et remises ;0.2;;22159;-0.3;6.5;1506
9;Médicaments;-0.1;;22891;-1.4;5.1;1506
10;Remises conventionnelles;-9.1;;-732;-26.1;-26.1;0
11;Dispositifs médicaux;3.9;;6502;4.3;6.1;110
12;Dépenses hors produits de santé (b);2.8;;55647;2.1;3.4;682
13;Dépenses hors produits, IJ et PEC;2.8;;42487;2.5;3.3;297
14;Indemnités journalières (IJ);2.8;;10610;2.7;3.9;115
15;Prises en charge de cotisations (PEC);4.6;;2550;-6;3.9;270
16;Établissements de santé (c) + (d);2;2;77920;1.8;3;993
17;Établissements tarifés à l'activité (c) ;2.2;;58117;1.9;3.3;797
18;MCOO publics et privés non lucratifs;2.7;;41212;2.2;;
19;MCOO privés lucratifs;0;;10555;1.2;;
20;MIGAC;2.2;;6350;1.7;;
21;Autres dépenses (d);1.4;;19803;1.3;2.2;195
22;Objectifs de dépense de l’assurance maladie – secteurs public et privé non lucratif;0.3;;16282;0.7;;
23;Dotations annuelles de financement (soins de suite et de réadaptation); +0,4;;15263;0.7;;
24;Unités de soins de longue durée (psychiatrie); +0,3;;1003;0;;
25;SSR et PSY - secteur privé lucratif; +1,5;;2980;2.4;;
26;Champ non régulé; +0,0;;233;0;;
27;FMESPP;171.5;;307;26.3;;
28;Établissements et services médico-sociaux (e) + (f);2.2;1.7;18183;2;2.8;160
29;Personnes âgées (e);2.2;1.9;8866;1.8;3;63
30;Personnes handicapées (f);2.2;1.4;9317;2.2;2.7;97
31;Fonds d'intervention régional;2.1;0.5;3086;1;1;0
32;Autres prises en charge;5.2;3.2;1698;4.6;4.6;0
33;Soins à l'étranger;6.2;;735;6;6;0
34;Médico-social hors champ CNSA;4.5;;550;4;4;0
35;Dotations à divers fonds;5.2;;413;2.8;2.8;0
36;Total ONDAM;2.1;2;185195;1.75;3.6;3451
