;Tableau n° 34 :  prévision initiale et rectifiée de l’ONDAM 2016;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;détaillée par sous-objectif;;;;;
1;;;;;;
2;;;;;;
3;;Objectif 2016;Évolution;Objectif 2016 révisé;Évolution;Variation LFSS 2017/2016
4;;(LFSS 2016);en %;(LFSS 2017);en %;
5;Soins de ville;84 308 ;1.7;84 553 ;1.8;245
6;Établissements de santé;77 920 ;1.8;77 947 ;2;26
7;Établissements tarifés à l’activité;58117;1.9;58 521 ;2.7;404
8;Autres dépenses relatives aux établissements;19 803 ;1.3;19 426 ;0.1;-378
9;Établissements médico-sociaux;18 183 ;2;18 012 ;1.6;-171
10;Personnes âgées;8 866 ;1.8;8 773 ;1.2;-93
11;Personnes handicapées;9 317 ;2.2;9 239 ;2;-78
12;FIR;3 086 ;1;3 050 ;0.1;-36
13;Autres prises en charge;1 698 ;4.6;1 623 ;2.8;-75
14;Total ONDAM ;185 195;1.75;185 185 ;1.85;-10
