;Tableau n° 36 : synthèse des économies réalisées selon le ministère de la santé ;Unnamed: 1;Unnamed: 2
0;;;
1;;;
2;Économies 2016 (M€);Cible;Résultat
3;Efficacité de la dépense hospitalière;700;579
4;dont gain des achats (Phare);480;321
5;dont baisse des prix liste en sus;85;40
6;Virage ambulatoire;500;461
7;dont évolution de la masse salariale;360;346
8;Produits de santé et promotion des génériques;1000;918
9;dont baisse des prix sur les produits de santé en ville;905;847
10;dont autres;95;71
11;Pertinence et bon usage des soins;1200;1082
12;dont économies de maitrise médicalisée;700;456
13;TOTAL;3400;3040
14;Source : direction de la sécurité sociale et direction générale de l’offre de soins.;;
