;Tableau n° 38 : régulation 2016 ventilée par secteur et type de mesure;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
0;;;;;;;;;
1;;;;;;;;;
2;;Soins de ville;Établissements de santé;;;Établissements médico-sociaux;FIR;Autres prises en charge;Total ONDAM
3;;Tarif « B » des actes de biologie;Coefficient prudentiel;Dotations (DAF et MIGAC) ;FMESPP;;;;
4;Mises en réserve ;-;-211;-96;-45;-111;-40;-30;-533
5;Gels complémentaires;-;-;-;-;-60;-;-;-60
6;Total mises en réserves et gels complémentaires;-;-211;-96;-45;-171;-40;-30;-593
7;Fongibilité;-;-;-37;-;-;37;-;-
8;Annulations de dotations non mises en réserve;-;-;-157;-;-112;-;-;-269
9;Réduction tarifaire temporaire;-35;-;-;-;0;-;-;-35
10;Dégels de mises en réserve;-;71;29;-;-;-;-;100
11;Total mesures de fin d’année;-35;71;-165;-;-112;37;-;-204
12;Total de la régulation;-35;-140;-261;-45;-283;-3;-30;-797
