;Tableau n° 39 : progression des dépenses entrant dans le champ;Unnamed: 1
0;de l’ONDAM 2016 selon la Cour;
1;;
2;;
3;;Réalisé provisoire 2016
4;ONDAM 2016 exécuté affiché;185 158 
5;Taux de progression affiché;+1,8 %
6;+ Ajustement des remises conventionnelles;15
7;+ Prise en compte des écarts de sur et sous-provisionnement des autres régimes;5
8;+ Variation / 2015 de l’absence de rattachement à l’objectif de l’année de la totalité des dépenses relatives aux ATU;+85
9;ONDAM 2016 (selon Cour des comptes);185 263
10;Taux d’évolution hors effet des cotisations des PAMC;+1,90 %
11;Cotisations PAMC;270
12;Taux de progression avec correction de l’ « économie » liée à la réforme des cotisations;+2,05 %
13;des PAMC;
14;+ Variation des prises en charge par d’autres financeurs;308
15;Dépenses 2016 relevant du champ de l’ONDAM à périmètre constant (selon Cour des comptes);185841
16;Progression des dépenses du champ de l’ONDAM (selon Cour des comptes);+2,2 %
