;Tableau n° 40 : dépenses de l’ONDAM 2016 exécuté par sous-objectif;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
0;;;;;
1;;;;;
2;;Réalisé 2015 (définitif);Réalisé provisoire 2016;Variation;Variation 2016/2015 en %
3;;;;2016/2015;
4;;;;en montant ;
5;Soins de ville;83142;85075;1933;2.4
6;Établissements de santé;76324;77566;1242;1.6
7;Établissements tarifés à l'activité;56715;58291;1576;2.8
8;Autres dépenses relatives aux établissements;19610;19275;-335;-0.6
9;Établissements médico-sociaux;17701;17900;199;1
10;Personnes âgées;8651;8750;99;0.9
11;Personnes handicapées;9050;9150;100;1
12;FIR;3018;3018;0;0
13;Autres prises en charge;1574;1599;25;1.6
14;Total;181759;185158;3399;1.8
