;Tableau n° 42 :  dépenses de soins de ville prévues et exécutées;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;en 2016;;;;;;
1;;;;;;;
2;;;;;;;
3;;Objectif 2016 initial;Objectif 2016 révisé;Constat 2016;Écart à l’objectif initial;Écart à l’objectif révisé;Variation 2016/2015
4;;;;;;;en %
5;Soins de ville;84308;84553;85075;+766.5;522;2.4
6;dont produits de santé;28662;28549;28649;-12.5;101;0.9
7;dont médicaments et remises conventionnelles;22159;22005;22083;-76;78;-0.4
8;médicaments;22891;23376;23333;442;-43;0.6
9;remises conventionnelles;-732;-1371;-1 250 ;-518;121;22.3
10;dont dispositifs médicaux ;6502;6543;6566;63.5;22;5.6
11;dont hors produits de santé;55647;56005;56404;757;399;3.1
12;dont autres dépenses;42487;42617;42991;504;374;3.7
13;dont indemnités journalières;10610;10765;10824;214;59;4.1
14;dont PEC cotisations;2550;2623;2589;39;-34;-9
15;Ajustement de provisions;;;22;;;
