;Tableau n° 43 : évolution des dépenses de soins de ville entre 2015;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;et 2016;;;;;
1;;;;;;
2;;Exécuté 2015 (à périmètre 2016) (en M€);2016 provisoire;Variation 2016/2015 (en M€);Variation 2016/2015 (en %);Variation 2015/2014 (en %)
3;;;(en M€);;;
4;Médicaments nets des remises;22164;22083;-81;-0.4;-0.1
5;Médicaments;23186;23333;147;0.6;-1
6;Remises conventionnelles;-1022;-1250;-228;22.3;-16.8
7;Dispositifs médicaux;6217;6564;347;5.6;4.7
8;Honoraires médicaux;17852;18468;617;3.5;2.5
9;dont médecins généralistes;6478;6606;128;2;1.3
10;dont médecins spécialistes;11117;11584;468;4.2;3
11;Honoraires des chirurgiens- dentistes;3502;3589;87;2.5;3.2
12;Honoraires paramédicaux;11454;11979;525;4.6;4.2
13;dont infirmiers;6965;7264;299;4.3;5
14;dont masseurs-kinésithérapeutes;3744;3911;167;4.5;2.8
15;Transports des malades;4270;4462;192;4.5;4.4
16;Biologie;3409;3485;76;2.2;0.1
17;Indemnités journalières;10399;10824;425;4.1;3.3
18;Cotisations PAM;2845;2589;-256;-9;9.7
19;Autres dépenses;981;1032;51;5.2;1.9
20;Total soins de ville;83093;85075;1982;2.4;2.5
21;Total soins de ville hors cotisations PAM;80247;82486;2239;2.8;2.3
