;Tableau n° 50 : tableau d’équilibre du régime général de sécurité sociale[1];Unnamed: 1;Unnamed: 2;Unnamed: 3
0;;;;
1;;;;
2;[1] Le transfert, en 2016, au budget de l’État des dépenses de l’allocation logement à caractère familial, se traduit par une diminution des recettes et des dépenses de la branche famille de 4,5 Md€.;;;
3;;;;
4;;;;
5;;Recettes;Dépenses;Solde
6;Maladie;194.6;199.4;-4.8
7;Vieillesse;123.7;122.8;0.9
8;Famille;48.6;49.6;-1
9;Accidents du travail et maladies professionnelles;12.6;11.8;0.8
10;Toutes branches (hors transferts entre branches);366.6;370.7;-4.1
11;Toutes branches (hors transferts entre branches) y compris Fonds de solidarité vieillesse;365;372.7;-7.8
