;Tableau n° 54 : évolution des dépenses d’actes de médecins spécialistes (2009-2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
0;;;;;;;;;
1;;;;;;;;;
2;;;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0
3;Tous actes de spécialistes;;13.9;14.2;14.7;14.9;15.2;15.7;16.1
4;Variation en valeur (en %);;3.2;2.0;3.5;1.4;1.9;3.2;2.8
5;Actes de spécialistes en établissement;;4.1;4.3;4.5;4.6;4.7;4.9;5.0
6;Variation en valeur (en %);;3.9;5.4;3.1;2.8;1.8;4.3;1.9
7;Actes de spécialistes en ville (*);;9.8;9.9;10.2;10.3;10.5;10.8;11.2
8;Variation (en %);Valeur;2.9;0.6;3.3;1.6;2.0;2.7;3.1
9;;Prix;0.2;0.3;2.1;0.5;0.1;0.2;0.5
10;;Volume;2.7;0.2;1.2;1.1;1.9;2.5;2.6
11;Actes de généralistes en ville (**);;8.4;8.1;8.6;8.5;8.5;8.7;8.7
12;Variation (en %);Valeur;0.5;-3.2;5.1;-0.8;0.5;1.4;0.6
13;;Prix;0.2;0.3;2.1;0.5;0.1;0.2;0.5
14;;Volume;0.3;-3.5;3.0;-1.3;0.4;1.2;0.1
