;Tableau n° 56 : montant moyen des honoraires des médecins spécialistes (2011-2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;;2011.0;2012.0;2013.0;2014.0;2015.0;Taux de croissance annuelle moyen
3;;;;;;;(en %)
4;Anesthésistes;313.0;316.0;323.0;332.0;343.0;2.3
5;Ophtalmologues;299.0;308.0;321.0;331.0;349.0;3.9
6;Cardiologues;236.0;235.0;241.0;247.0;254.0;1.8
7;Gastro-entérologues;211.0;212.0;217.0;220.0;227.0;1.9
8;Chirurgiens;268.0;270.0;277.0;286.0;295.0;2.4
9;ORL;198.0;200.0;203.0;210.0;216.0;2.2
10;Gynécologues;187.0;188.0;196.0;198.0;200.0;1.7
11;Pneumologues;182.0;185.0;191.0;198.0;207.0;3.3
12;Dermatologues;145.0;147.0;154.0;156.0;159.0;2.4
13;Pédiatres;139.0;138.0;141.0;142.0;144.0;0.8
14;Psychiatres;116.0;118.0;122.0;122.0;124.0;1.6
15;Radiologues;515.0;518.0;532.0;544.0;574.0;2.8
16;Tous spécialistes;244.0;247.0;254.0;260.0;271.0;2.7
17;Généralistes;141.0;140.0;146.0;149.0;153.0;2.2
