;Tableau n° 57 : revenu global d’activité et revenu libéral moyens des médecins spécialistes (2005-2011-2014);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;;Revenu global d’activité;;;Revenu libéral;;
3;;2005;2011.0;2014.0;2005;2011.0;2014.0
4;Radiologues;172;200.0;216.0;165;190.0;207.0
5;Chirurgiens;157;186.0;187.0;148;179.0;180.0
6;Anesthésistes;148;193.0;199.0;145;190.0;196.0
7;Ophtalmologues;125;162.0;170.0;120;158.0;165.0
8;Cardiologues;122;145.0;151.0;111;135.0;141.0
9;Gastro-entérologues;101;126.0;136.0;91;117.0;126.0
10;ORL;96;119.0;122.0;85;107.0;111.0
11;Gynécologues;93;102.0;106.0;86;96.0;100.0
12;Pneumologues;89;109.0;117.0;76;98.0;106.0
13;Psychiatres;80;84.0;85.0;67;71.0;73.0
14;Pédiatres;79;85.0;84.0;70;76.0;76.0
15;Dermatologues;72;86.0;86.0;68;82.0;83.0
16;Tous spécialistes;113;136.0;142.0;105;128.0;134.0
17;Généralistes;71;82.0;85.0;68;78.0;82.0
