;Tableau n° 6 : recettes du régime général et du FSV;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
0;;;;;;;;;
1;;2015.0;Variation en %;2015;2016 dans la LFSS 2017;Réalisé 2016;Réalisé 2016 hors produit de CSG;Variation;Variation en %**
2;;;;pro forma;;;;**;
3;Produits nets du régime général et du FSV*;338.5;1.8;361.1;366.3;365;364.2;3.2;0.9
4;Cotisations sociales brutes ;196.1;0.6;204.6;207.2;205.5;205.5;1;0.5
5;Cotisations prises en charge par l’État nettes;2.8;15.9;3.1;3.8;3.3;3.3;0.3;9.1
6;CSG brute;78.7;2.1;87.4;89.9;89.3;88.6;1.2;1.4
7;Autres contributions sociales brutes;13.6;22.8;13.9;12.8;12.9;12.9;-0.9;-6.6
8;Impôts et taxes bruts;40.7;-1.7;46.4;45.6;46.1;46.1;-0.3;-0.6
9;Charges liées au non recouvrement;-2.4;16.4;-2.7;-2.3;-1.7;-1.7;1;-37
10;Transferts nets reçus;4.7;2.2;3.9;4;4.1;4.1;0.3;7.3
11;Autres produits nets;4.4;2.8;4.6;5.2;5.3;5.3;0.6;13.9
