;Tableau n° 61 : activité chirurgicale par spécialité (2008-2015);Unnamed: 1;Unnamed: 2
0;;;
1;;;
2;Spécialités chirurgicales;Variation;Taux de croissance annuel moyen
3;;2008-2015;
4;Chirurgie esthétique et de confort;+35,7 %;0.052
5;Chirurgie urologique;+28,9 %;0.043
6;Autres spécialités chirurgicales;+18,3 %;0.028
7;Chirurgie orthopédique et traumatologique;+12,2 %;0.019
8;Chirurgie viscérale et digestive;+12,2 %;0.019
9;Neurochirurgie;+11,5 %;0.018
10;Chirurgie thoracique et cardio-vasculaire;+11,4 %;0.018
11;Chirurgie gynécologique;+3,0 %;0.005
12;Chirurgie ORL, maxillo-faciale et stomatologie;+1,9 %;0.003
13;Chirurgie endocrinienne;+0,0 %;0
14;Chirurgie vasculaire;-5,7 %;-0.01
15;Chirurgie pédiatrique;-6,9 %;-0.012
