;Tableau n° 62 : variation comparée de la volumétrie des séjours chirurgicaux de niveaux de sévérité 1 et 4 (2008-2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;Spécialités chirurgicales;2008;;2015;;Variation du nombre de séjours de niveau 1;Variation du nombre de séjours de niveau 4
3;;Niveau 1;Niveau 4;Niveau 1;Niveau 4;;
4;Chirurgie esthétique et de confort;100 %;0,0 %;100 %;0,0 %;+32,4 %;SO
5;Chirurgie pédiatrique;94,8 %;0,7 %;88,5 %;1,6 %;-27,7 %;+78,2 %
6;Chirurgie ORL, maxillo-faciale et stomatologie;93,9 %;1,0 %;89,1 %;2,9 %;-21,9 %;+132,4 %
7;Chirurgie endocrinienne;92,5 %;0,2 %;89,3 %;0,3 %;-3,5 %;+27,7 %
8;Autres spécialités chirurgicales;88,7 %;1,3 %;77,5 %;2,8 %;-27,0 %;+84,0 %
9;Chirurgie vasculaire;83,9 %;2,1 %;62,9 %;5,6 %;-55,6 %;+61,7 %
10;Chirurgie orthopédique et traumatologique;81,4 %;1,2 %;70.6;2,1 %;-14,7 %;+69,0 %
11;Chirurgie viscérale et digestive;75,2 %;2,8 %;65,4 %;5,6 %;-23,9 %;+78,1 %
12;Chirurgie urologique;72,9 %;2,0 %;67,0 %;3,9 %;+6,7 %;+128,7 %
13;Chirurgie thoracique et cardio-vasculaire;61,5 %;4.2;44,0 %;7,1 %;-21,0 %;+88,7 %
14;Neurochirurgie;56,7 %;9.1;30,1 %;15,7 %;-41,0 %;+91,8 %
