;Tableau n° 7 : effet des mesures de recettes sur les produits du régime général et du FSV en 2016;Unnamed: 1;Unnamed: 2
0;;;
1;;;
2;Intitulé de la mesure;LFSS 2016;Réalisé
3;Total lié au Pacte de responsabilité;-4.3;-4.3
4;Poursuite de la réduction des cotisations famille;-2.9;-2.8
5;Abattement supplémentaire de C3S;-1;-1
6;Extinction de l’avancement du versement des prélèvements sociaux par les caisses de congés payés;-0.5;-0.7
7;Ajustement de l’affectation de TVA;0.1;0.1
8;Autres mesures compensées en dépenses par l’État;-0.2;-0.4
9;Mesures de la loi croissance et activité;-0.2;-0.4
10;Autres mesures neutralisées en dépenses sur le solde;-0.3;-0.3
11;Baisse du taux de cotisation des PAMC;-0.3;-0.3
12;Autres mesures;0.5;0.7
13;Hausses des taux de cotisations vieillesse (réforme de 2014 et décret carrières longues de 2012);1.1;1
14;Baisse de cotisation maladie des exploitants agricoles;-;-0.5
15;Hausse de la fraction de TVA affectée à la CNAMTS;-;0.5
16;Épuisement des réserves de C3S affectées au FSV;-0.2;-0.3
17;Contrepartie de la taxation au fil de l’eau des intérêts des compartiments euros des contrats d’assurance vie (« préciput »).;-0.2;-0.2
18;Contrecoup de la mesure de suppression de l’application des « taux historiques » pour les produits d’assurance-vie (LFSS 2014);-0.1;-
19;Solde des mesures de transferts internes à la sécurité sociale;-0.1;-
20;Cotisation subsidiaire maladie;-;0.1
21;Total des mesures sur les recettes du régime général et du FSV;-4.3;-4.3
