;Tableau n° 80 : estimation de l’impact en cumul des réformes sur les soldes annuels de la branche famille et des administrations publiques (2012-2020);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
0;;;;;;;;;;
1;;2012;2013;2014;2015;2016;2017;2018;2019;2020
2;Augmentation de 25 % de l'ARS;-370;-370;-370;-370;-370;-370;-370;-370;-370
3;Revalorisation de 25 % de l'ASF;-;-;-50;-120;-190;-260;-330;-340;-340
4;Majoration de 50 % du CF;-;-;-70;-160;-245;-335;-420;-440;-440
5;Gel de l'AB de la PAJE;-;-;20;30;30;30;60;120;190
6;Réforme du CLCA;-;-;10;50;100;110;110;110;110
7;Modulation des AF;-;-;-;380;760;760;760;760;760
8;Modulation du CMG de la PAJE;-;-;10;30;50;70;70;70;80
9;Modulation de l'AB de la PAJE;-;-;50;180;310;400;410;410;410
10;Décalage du versement de la prime de naissance ;-;-;-;200[1];-;-;-;-;-
11;Augmentation du FNAS[2];-;-75;-390;-650;-850;-1050;-1050;-1050;-1050
12;Incidence de la variation des dépenses sur le solde de la branche famille;-370;-445;-790;-430;-405;-645;-760;-730;-650
13;Baisse du plafond du quotient familial rétrocédée à la branche;-;-;1 000;1 000;1 000;1 000;1 000;1 000;1 000
14;Incidence totale des réformes sur le solde de la branche famille;-370;-445;210;570;595;355;240;270;350
15;Majoration RSA;-;-120;-240;-360;-480;-600;-600;-600;-600
16;Baisse du plafond du quotient familial conservée par l’État;-;550;700;700;700;700;700;700;700
17;Incidence totale des réformes sur le solde des administrations publiques;-370;-15;670;910;815;455;340;370;450
