;Tableau n° 82 : soutien public mensuel lié aux enfants selon le niveau revenu à la suite des réformes;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;Revenu du ménage;;1 SMIC;2 SMIC;;7 SMIC;
3;Couple biactif sans enfant en bas âge. Enfants de 6 à 10 ans.;;;;;;
4;1 enfant;;250;30;;130;
5;2 enfants;;530;230;;340;
6;3 enfants;;920;670;;670;
7;4 enfants;;1 170;970;;1 020;
8;Couple monoactif avec enfant en bas âge gardé par le parent inactif;;;;;;
9;(ne percevant pas le CLCA/la PRÉPARE);;;;;;
10;1 enfant (2 ans);;190;230;;120;
11;2 enfants (2,8 ans);;430;500;;320;
12;3 enfants (2,8, 10 ans);;720;820;;650;
13;Famille monoparentale avec enfant en bas âge gardé à temps plein en EAJE;;;;;;
14;1 enfant (2 ans);1 800;;;1 840;;1 350
15;2 enfants (2, 8 ans);2 200;;;2 270;;1 750
16;3 enfants (2, 8, 10 ans);2 550;;;2 650;;2 270
