;Tableau n° 83 : création de solutions d’accueil[1] (2013-2015);Unnamed: 1;Unnamed: 2;Unnamed: 3
0;;;;
1;;;;
2;[1] Ce concept correspond au nombre d’enfants accueillis. Il ne se substitue pas au nombre de places, une place pouvant être occupée par plusieurs enfants qui en bénéficient sur des plages horaires différentes, ce qui est mesuré par le taux de fréquentation.;;;
3;;;;
4;;2013;2014;2015 (p)
5;(1) Accueil collectif en EAJE (objectif + 20 000 par an, dont 13 200 créations effectives);+13 500 ;+13 500 ;+14 100 
6;Variation nette de solutions d’accueil relevant de la prestation de service unique (PSU);+8 700 ;9000;+8 400 
7;Dont créations/intégrations brutes de places physiques;+13 700 ;+14 700 ;+13 400 
8;Dont destructions brutes de places physiques;-5 000 ;-5 700 ;-5 000 
9;Création nettes de places physiques en micro-crèches relevant du CMG de la PAJE[1];+3 200 ;+4 600 ;+4 900 
10;Variation du nombre de solutions d'accueil par augmentation de la fréquentation en équipement relevant de la PSU (objectif + 6 800 par an);+1 600 ;-100;700
11;(2) Nombre d'enfants supplémentaires de moins de 3 ans gardés par un assistant maternel (objectif + 20 000 par an);-1 300 ;-6 800 ;-8 000 
12;(3) Scolarisation à deux ans;+6 100 ;-800;-2 815 
13;(objectif + 15 000 par an);;;
14;Total solutions d’accueil supplémentaires (objectif 55 000 par an) = (1)+(2)+(3);+18 300 ;+5 900 ;+3 285 
15;;;;
16;;;;
17;[1] La quasi-totalité des micro-crèches relève du CMG de la PAJE, une petite minorité de la PSU.;;;
