;Tableau n° 84 : distribution des prestations monétaires versées;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;en fonction des configurations familiales (2015);;;;;;;
1;;;;;;;;
2;;;;;;;;
3;;Couples sans enfant;Couples avec;Couples avec;Couples avec trois enfants ou +;Célibataires sans enfant;Célibataires avec;Célibataires avec deux enfants ou + 
4;;;un enfant;deux enfants;;;un enfant;
5;Allocations familiales;-;0,9 %;37,9 %;45,0 %;-;0,3 %;15,9 %
6;Prestations familiales destinées à la garde;-;31,5 %;39,3 %;20,5 %;-;3,3 %;5,3 %
7;Prestations familiales autres;0,1 %;2,8 %;12,0 %;38,4 %;0,1 %;12,2 %;34,6 %
8;Minima sociaux;11,4 %;8,6 %;8,9 %;7,2 %;39,8 %;13,0 %;11,1 %
9;Allocations logement;5,7 %;6,3 %;10,4 %;14,3 %;29,6 %;15,1 %;18,5 %
10;Total des prestations versées;3,5 %;11,4 %;23,9 %;24,2 %;14,2 %;8,0 %;14,9 %
11;Fréquences des configurations familiales;30,0 %;8,9 %;10,5 %;4,7 %;39,6 %;3,5 %;2,9 %
