;Tableau n° 85 : voies possibles d’adaptation des prestations familiales et de financement des mesures;Unnamed: 1
0;;
1;Dépenses supplémentaires éventuelles;Montant (M€)
2;Accueil du jeune enfant;
3;Majoration de 100 € de la prime d’activité pour les parents d’un enfant en bas âge;370
4;Développement des structures d’accueil ;2 500
5;Ciblage et redistribution;
6;Revalorisation de 25 % du complément familial;560
7;Revalorisation de 25 % de l’ASF;440
8;Rang de l’enfant;
9;Allocations familiales au 1er enfant;2 100
10;Majoration de 50 % de la prime de naissance au 1er enfant;160
11;Majoration de 25 % de la PAJE pour les familles avec un enfant;425
12;Sources éventuelles de financement de dépenses supplémentaires;Montant (M€)
13;Augmentation du taux de participation des familles aux revenus les plus élevés;Selon calibrage de la mesure
14;Reconfiguration du CMG sur la moitié inférieure des revenus;2 500
15;Doublement du nombre de foyers concernés par la modulation des AF;440
16;Fiscalisation des AF;640
17;Fiscalisation de toutes les prestations ;2100
18;Suppression des AF pour les 30 % de familles aux revenus les plus élevés;2 500
19;Plafonnement de l’effet du quotient familial par demi-part à :;1000
20;602 €;3000
21;493;
22;Calcul du quotient familial selon l’échelle d’équivalence de l’Insee;3100
