;Tableau n° 88 : résultats du « groupe UGECAM »;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;(comptes agrégés 2012-2016);;;;;
1;;;;;;
2;;;;;;
3;;2012;2013;2014;2015;2016
4;Produits d’exploitation;1 029,6;1 046,8;1051;1 048,4;1 055,3
5;Dont recettes d’activité;957.8;975.9;983.9;985.5;998.9
6;Charges d’exploitation;1 040,1;1 054,4;1 068,1;1 070,7;1 070,9
7;Résultat d'exploitation;-10.5;-7.6;-17.2;-22.3;-15.7
8;En % des recettes d’activité;-0.01;-0.007;-0.016;-0.021;-0.016
9;Résultat financier;5;5.7;4.6;4;3.2
10;Résultat exceptionnel;4.1;8.1;1.5;-1.4;2.5
11;Résultat net ;-1.4;6.1;-11.5;-20.1;-10.3
12;En % des recettes d’activité;-0.001;0.006;-0.012;-0.02;-1,0 %
