;Tableau n° 89 : résultat net du « groupe UGECAM » corrigé des concours de la CNAMTS (2013-2016);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;;2012.0;2013.0;2014.0;2015.0;2016.0;Cumul 2012-2016
3;(1) Résultat net;-1.4;6.1;-11.5;-20.1;-10.3;-37.2
4;(2) Résultat d’exploitation;-10.5;-7.6;-17.2;-22.3;-15.7;-73.1
5;Dotation du FNGA;17.0;18.8;15.2;12.4;12.2;75.5
6;Dotation du FNASS;1.9;1.7;2.5;1.7;3.5;11.2
7;Frais de la direction nationale *;1.0;1.0;1.0;1.2;1.3;5.6
8;(3) Sous-total des concours CNAMTS;19.9;21.5;18.7;15.2;17.0;92.4
9;Résultat d’exploitation corrigé;-30.4;-29.0;-35.9;-37.5;-32.7;-165.5
10;(2) – (3);;;;;;
11;En % des recettes d’activité;-0.032;-0.03;-0.036;-0.038;-0.033;-0.034
12;Résultat net corrigé (1) – (3);-21.3;-15.3;-30.3;-35.3;-27.3;-129.6
13;En % des recettes d’activité;-0.022;-0.016;-0.031;-0.036;-0.027;-0.026
