;Tableau n° 90 : comparaison des coûts salariaux annuels UCANSS - FEHAP (brut chargé – situation au 1er janvier 2017);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;Métier;Convention collective;Coût annuel selon l'ancienneté;;;
3;;;Aucune;10 ans;20 ans;30 ans
4;Infirmier;UCANSS;49848;59002;68156;77637
5;;FEHAP;40505;44555;48606;52656
6;;Écart;0.23;0.32;0.4;0.47
7;;;9343;14447;19550;24981
8;Aide-soignant;UCANSS;36721;43423;50125;56337
9;;FEHAP;29805;32786;35767;38747
10;;Écart;0.23;0.32;0.4;0.45
11;;;6916;10637;14359;17590
12;Agent de service hospitalier;UCANSS;34237;40939;47641;53853
13;;FEHAP;28640;31504;34368;37231
14;;Écart;0.2;0.3;0.39;0.45
15;;;5597;9435;13274;16621
