;Tableau n° 92 : nombre, montant total et montant moyen des retraites de base et complémentaires versées à l’étranger;Unnamed: 1;Unnamed: 2;Unnamed: 3
0;par les principaux régimes hors fonction publique (2015);;;
1;;;;
2;;Nombre;Montant total (en M€);Montant moyen (en €)
3;Retraites de base;;;
4;Branche vieillesse du régime général;1288891;4 096[1];3 178
5;MSA;260699;353;1355
6;RSI;29601;52;1746
7;Moyenne;;;2 850
8;Retraites complémentaires;;;
9;AGIRC;59689;519;8693
10;ARRCO;1 063 254;1 275;1199
11;;;;
12;;;;
13;[1] Ou 3,9 Md€ Md€, selon l’estimation révisée communiquée par la CNAVTS à la Cour (voir A - supra). Au regard du bilan des paiements de prestations en 2015 établi par la CNAVTS, qui fait état de 3,7 Md€ Md€ de prestations versées sur des comptes bancaires à l’étranger, et en prenant pour hypothèse un montant négligeable de prestations versées à des résidents en France sur des comptes bancaires à l’étranger, entre 0,2 Md€ Md€ et 0,4 Md€ Md€ de prestations du régime général auraient été versées en 2015 à des résidents à l’étranger sur des comptes bancaires en France.;;;
