;Tableau n° 94 : prestations versées (droits propres et dérivés) dans les dix premiers pays de destination (2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;Retraites de base ;Retraites complémentaires;Total ;Part dans le monde;Nombre de prestations 
3;Algérie;1409;272;1681;26 %;815245
4;Portugal;790;278;1068;17 %;398031
5;Espagne;761;226;987;15 %;518 036
6;Maroc;347;121;469;7 %;169239
7;Italie;247;90;337;5 %;195114
8;Cinq premiers pays;3555;987;4 542;70 %;2 095 665
9;Belgique;208;122;330;5 %;121407
10;Tunisie;144;40;184;3 %;77302
11;Suisse;76;99;176;3 %;44834
12;Allemagne;110;52;162;2 %;86969
13;États-Unis;53;46;99;2 %;27764
14;Dix premiers pays;4146;1347;5 493;85 %;2 453 941
