;Tableau n° 95 :  nature des suites données aux recommandations;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;des trois derniers rapports sur la sécurité sociale (2014, 2015 et 2016);;;;;;;
1;;;;;;;;
2;;;;;;;;
3;;Présent rapport (2017);;;;;Précédent rapport (2016);
4;Recommandations des rapports;2014;2015;2016;Total;%;2013/;%
5;;;;;;;2014/;
6;;;;;;;2015;
7;Totalement mise en œuvre;13;3;1;17;9 %;9;4 %
8;Mise en œuvre en cours;20;12;8;40;20 %;55;26 %
9;Mise en œuvre incomplète;27;15;13;55;28 %;56;27 %
10;Recommandations connaissant une mise en œuvre ;71 %;60 %;36 %;-;57 %;-;57 %
11;Non mise en œuvre;17;17;33;67;34 %;76;36 %
12;Refus de mise en œuvre ;6;1;6;13;7 %;14;7 %
13;Devenue sans objet;1;2;-;3;2 %;1;0 %
14;Total;84;50;61;195;100 %;211;100 %
