;;;;;;;;;;;;;
;;;;;;;;;;;;;
Branche AT-MP;;;;;;;;;;;;;
;;;;;;;;;;;;;
;(M€);2020.0;2019.0;Ecart;Ecart en %;;;;;;;;
;Prestations d'incapacité temporaire;4529.849;4401.63;128.21900000000005;0.029129890517830992;;;;;;;;
;Prestations d'incapacité permanente;4282.66;4353.9;-71.23999999999978;-0.016362341808493497;;;;;;;;
;Actions de prévention;204.6;162.5;42.099999999999994;0.259076923076923;;;;;;;;
;Autres prestations;274.2039999999997;305.2359999999999;-31.032000000000153;-0.10166559645651285;;;;;;;;
;Total prestations sociales;9291.313;9223.266;68.04700000000048;0.007377755341762882;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Branche assurance-maladie;;;;;;;;;;;;;
;;;;;;;;;;;;;
;(M€);2020.0;2019.0;Ecart;Ecart en %;;;2018.0;2019.0;%;2020.0;%;contrib
;Indemnités journalières;14140.0;11440.0;2700;0.23601398601398604;;PRESTATIONS SOCIALES HORS ONDAM;17584.49586757;17863.3021147;1.5855231178062201;17974.039864150003;0.6199175759272091;
;Prestations d'incapacité temporaire (AT MP);4529.849;4401.63;128.21900000000005;0.029129890517830992;x;Prestations d'invalidité;6489.919564;6630.167138200001;2.1610063548085146;6721.40946317;1.3761693041537626;
x;Indemnités journalières maternité et paternité;3100.0;3162.0;-62;-0.019607843137254943;x;Prestations d'incapacité permanente (AT-MP);4347.32803193;4366.7732041;0.4472901981902533;4280.90639587;-1.9663674804402231;
x;Pensions d'invalidité;6475.0;6388.0;87;0.013619286161552946;;Préretraite amiante (ACAATA);317.51873062;287.00208303;-9.610975557382694;259.17943681;-9.694231458623836;
x;Prestations d'incapacité permanente;4282.66;4353.9;-71.23999999999978;-0.016362341808493497;x;IJ maternité et paternité;3230.5651157400007;3299.33749111;2.1288032559667602;3224.04359107;-2.282091487848037;
;Actions de prévention;516.6;474.5;42.10000000000002;0.08872497365648058;;Soins des étrangers (conventions internationales);868.2818654299998;864.8377407200002;-0.39665975383397223;832.52854632;-3.7358677678776875;
;Autres prestations;385.0;427.0;-42;-0.09836065573770492;;Actions de prévention (dont fonds addiction);448.06063464000005;511.61963977;14.185358010990456;564.39642099;10.315628470346837;
;Total prestations sociales;33429.109000000004;30647.03;2782.079000000005;0.09077809497364031;;Prestations légales décès;104.67603172;103.18724543;-1.4222800248889667;116.45666501999999;12.859554041494082;
;;;;;;;Prestations extralégales;130.88005426;131.52887229;0.4957348418507701;118.32938409000002;-10.035430221660569;
;(M€);2020.0;2019.0;Ecart;Ecart en %;;Etablissements médico-sociaux à la charge de la CNSA;1368.119492849999;1400.4713398699962;2.364694545255208;1532.9528892400024;9.459782974373777;
;Pensions d'invalidité;6721.40946317;6630.167138200001;91.24232496999866;0.013761693041537626;;AEEH;;;;;;
;Prestations d'incapacité permanente (AT MP);4280.90639587;4366.7732041;-85.86680823000006;-0.01966367480440223;;Etablissements médico-sociaux PH hors OGD;56.798691160000004;56.767149919999994;-0.05553163172573594;88.62344977000001;56.1174903001014;
;Indemnités journalières maternité et paternité;3224.04359107;3299.33749111;-75.29390004000015;-0.02282091487848037;;Autres prestations, provisions nettes et pertes sur créances;222.34765522000004;211.61021026000006;-4.8291244400018085;235.21362180000003;11.154193132268553;
;Autres prestations;729.17910772;733.3284110100001;-4.149303290000034;-0.005658178829162308;;;;;;;;
;Actions de prévention;564.39642099;511.61963977;52.77678122000003;0.10315628470346838;;;;;;;;
;Soins des étrangers (conventions internationales);832.52854632;864.8377407200002;-32.30919440000014;-0.037358677678776875;;;;;;;;
;Etablissements médico-sociaux;1621.5763390100024;1457.2384897899963;164.3378492200061;0.11277347556451711;;;;;;;;
;Total prestations sociales hors ONDAM;17974.039864150003;17863.302114699996;110.73774945000696;0.006199175759272313;-99.99996529658559;;;;;;;
;;;;;;;;;;;;;
;check;0.0;0.0;;;;;;;;;;
