Evolution du solde détaillée par régime et branche (2014-2020, en Md€);;;;;;;
;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0
Maladie;-6.5;-5.8;-4.8;-4.9;-0.7;-1.5;-30.4
AT-MP;0.7;0.7;0.8;1.1;0.7;1.0;-0.2
Famille;-2.7;-1.5;-1.0;-0.2;0.5;1.5;-1.8
Vieillesse;-1.2;-0.3;0.9;1.8;0.2;-1.4;-3.7
Régime général;-9.7;-6.8;-4.1;-2.2;0.5;-0.4;-36.2
FSV;-3.5;-3.9;-3.6;-2.9;-1.8;-1.6;-2.5
Vieillesse + FSV;-4.7;-4.2;-2.8;-1.1;-1.6;-3.0;-6.2
Total régime général et FSV;-13.2;-10.8;-7.8;-5.1;-1.2;-1.9;-38.7
Régimes obligatoires de base (ROB);-9.3;-6.4;-3.4;-1.9;0.3;-0.1;-37.2
Total ROB + FSV;-12.8;-10.3;-7.0;-4.8;-1.4;-1.7;-39.7
