;;;;;;
;;;;;;
;;;;;;
;France (mai 2020 au 12 décembre 2020);France (12 décembre 2020 au 31 mars 2021)*;France (1er avril         au 31 mai 2021)*;France (depuis         le 1er juin 2021)*;Allemagne (depuis       le 1er juillet 2020);Belgique
;63.99;63.99;55.89;41.040000000000006;42;46.81
;;;;;;
;* Résultat renseigné dans les 24 heures dans SIDEP;;;;;
;;;;;;
;;;;;;
Analyse;54;43.2;37.8;27;;
Majoration;0;10.8;10.8;6.75;;
Forfait pré-analytique;4.59;4.59;4.59;4.59;;
Forfait administratif;5.4;5.4;2.7;2.7;;
Total 1;63.99;63.99;55.89;41.040000000000006;;
;;;;;;
Prélèvement;9.6;9.6;9.6;9.6;;
Total 2;73.59;73.59;65.49;50.64000000000001;;
