;;;;;;;
;Annexe 5 PLFSS;;;;;;
;;;;;;;
;;Exonérations cibles compensées;;;;;
;;2020;;;2021;;
;;ROBSS;Hors ROBSS;Total ASSO;ROBSS;Hors ROBSS;Total ASSO
;Exonération de cotisations employeurs;1939;342;2281;;;
;Aide au paiement de cotisations;1603;394;1997;;;
;Réduction de cotisations aux travailleurs indépendants;;;;717;97;814
;Réduction de cotisations aux artistes-auteurs;;;;87;13;100
;Total;3542;736;4278;804;110;914
;;;;;;;
;;;;;;;
;P05 Acoss p 15;;;;;;
;;Crédits LFR 3;Crédits LFR 4;;Total;;
;;2020;2020;2021;;;
;Exonération de cotisations employeurs;2.3;0.3;1.3;3.8999999999999995;;
;Aide au paiement de cotisations;1.6;0.1;1.3;3;;
;Réduction de cotisations travailleurs indépendants et artistes-auteurs;0;0.9;0.5;1.4;;
;Total;3.9;1.3;3;8.299999999999999;;
;dont versé en 2020;3.9;;;3.9;;
;dont versement prévu en 2021;;1.3;3;4.3;;
