;;;;;;;;;
;(M€);2020.0;2019.0;Ecart;Ecart (%);;;;
;Charges de compensation;11202.7;9739.4;1463.300000000001;0.15024539499353162;;;;
;Prise en charge des cotisations;2265.5;2298.7;-33.19999999999982;-0.014442946012963809;;;;
;Contribution du régime général à la CNSA;21503.2;18823.5;2679.7000000000007;0.14235928493638283;;;;
;Total transferts entre organismes de sécurité sociale;34971.4;30861.6;4109.800000000003;0.13316872748010478;;;;
;;;;;;;;;
;(M€);2020.0;2019.0;Ecart;Ecart (%);;;;
;CNMSS;301.6;197.2;104.40000000000003;0.5294117647058825;;0.02692256192814104;0.020935293805403685;0.5294117647058826
;CAVIMAC;163.3;149.1;14.200000000000017;0.09523809523809534;;0.014577103325150637;0.01582886565104305;0.09523809523809536
;Régime agricole salarié;2672.4;2049.2;623.2000000000003;0.3041186804606677;;0.23855389422004017;0.21754870216041194;0.30411868046066776
;Régime agricole non-salarié;4963.0;4212.9;750.1000000000004;0.17804837522846495;;0.4430261102432493;0.447253038908647;0.17804837522846506
;ENIM;340.3;308.2;32.10000000000002;0.1041531473069437;;0.03037714795804508;0.03271935877700515;0.10415314730694362
;CPS Saint Pierre et Miquelon;40.4;43.9;-3.5;-0.07972665148063784;;0.003606337871010935;0.004660544614894634;-0.07972665148063782
;CSS de Mayotte;252.1;258.1;-6.000000000000028;-0.023246803564510032;;0.02250390537826378;0.02740060512766071;-0.023246803564509987
;CANSMM;1073.3;1033.5;39.799999999999955;0.03850991775520063;;0.09580897121178308;0.10971919953288393;0.03850991775520073
;CRPCEN;93.1;74.9;18.19999999999999;0.24299065420560728;;0.008310644945324705;0.007951589787143694;0.2429906542056073
;RATP;98.5;44.9;53.6;1.1937639198218264;;0.008792680205311314;0.004766707362386539;1.1937639198218264
;CRPSNCF;1204.5;1047.6;156.9000000000001;0.14977090492554423;;0.10752064271367998;0.11121609427251979;0.1497709049255442
;Total dotations d'équilibre;11202.5;9419.499999999998;1783.0000000000018;0.18928817877806692;;1.0;1.0;0.189288178778067
