;prestations légales du régime général;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2020;;;;2019;;;;Écart ;Écart (%);;;;Présents au 31/12/2019;Présents au 31/12/2020;;;
;M€;;Droits propres;Droits dérivés;Total;;Droits propres;Droits dérivés;Total;;;;;;;;(avec date de calcul antérieure à 2020);;;
;Pensions;;113199;11404;124603;;110278;11311;121589;;3014;0.024788426584641702;;;Montant mensuel moyen de la pension de base du droit direct;                                             629 € ;                                                 640 € ;;;
;Minimum vieillesse;;2983;168;3151;;2689;169;2858;;293;0.10251924422673198;;;(y compris le minimum contributif );;;;;
;Majorations;;4202;663;4865;;4144;665;4809;;56;0.011644832605531296;;;Nombre de droits dérivés (servis seuls ou avec un droit direct);2774947;2572935;;;
;Autres;;;;1;;;;-4;;5;;;;;;;;;
;Total;;120385;12235;132621;;117111;12144;129251;;3370;0.026073299239464297;;;Montant mensuel moyen de la pension de base du droit dérivé;                                             299 € ;                                                 303 € ;;;
;;;;;;;;;;;;;;;Nombre de retraités bénéficiaires de l'ASPA;341363;334904;;;
;Source : comptes combinés de la branche vieillesse du régime général et CCSS de juin 2021;;;;;;;;;;;;;;Montant mensuel moyen de l'ASPA;                                             415 € ;                                                 437 € ;;;
;;;;;;;;;;;;;;;Source : SNSP - champ : salariés - Hors Camr;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;M€;2020;2019;Ecart;Ecart en %;
;;;;;;;;;;;;;;;Prestations légales;132661;129298;3363;0.02600968305774254;
;;;;;;;;;;;;;;;Action sanitaire et sociale;330;349;-19;-0.054441260744985676;
;;;;;;;;;;;;;;;Total prestations sociales;132991;129647;3344;0.025793115151141244;
;;;;;;;;;;;;;;;Compensations;3246;4038;-792;-0.19613670133729566;
;CCSS de juin 2021;;;;;;;;;;;;;;Autres transferts;2217;2041;176;0.0862322390984811;
;;;;;;;;;;;;;;;Transferts entre OSS et assimilés;5463;6079;-616;-0.101332455996052;
;;;;;;;;;;;;;;;Charges techniques;695;812;-117;-0.14408866995073888;
;;;;;;;;;;;;;;;Dotations aux provisions pour charges techniques;3659;1633;2026;1.2406613594611144;
;;;;;;;;;;;;;;;Total charges de gestion technique;142809;138171;4638;0.033567101634930596;
;;;;;;;;;;;;;;;Charges de gestion courante;1489;1318;171;0.129742033383915;
;;;;;;;;;;;;;;;Charges nettes hors dot. prov. pour charges tech. ;140639;137856;2783;0.02018773212627667;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;%;2018;2019;2020;2021;
;;;;;;;;;;;;;;;Revalorisations;0.006;0.003;0.0074;;
;;;;;;;;;;;;;;;Effectifs;0.017;0.015;;;
;;;;;;;;;;;;;;;Pension moyenne;0.007;0.008;;;
;;;;;;;;;;;;;;;Total évolution des droits propres;0.03;0.026;0.026;0;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;2018;2019;2020;Var en Md;Var %
;;;;;;;;;;;;;;;CHARGES NETTES;133636.17601636998;137124.85056101;139642.23602915;2.5173854681399828;0.018358346119180927
