;;;;;;;
;(M€);2020.0;2019.0;Écart ;Écart  (%);;CCSS de juin, tous régimes p99
;Allocations familiales;12719.018737;12718.971764999998;0.04697200000191515;3.6930658287026574e-06;;
;Complément familial;2348.871176;2330.698184;18.17299200000025;0.00779723094339535;;
;Allocation de soutien familial;1793.5586250000001;1770.883771;22.674854000000096;0.012804258738672525;;
;Allocation de rentrée scolaire;2576.486507;2033.873366;542.613141;0.2667880656046706;;
;Total allocations en faveur de la famille;19437.935045000002;18854.427086;583.5079590000023;0.03094806096936642;;
;Prime naissance et allocation de base;3681.499896;3926.8910859999996;-245.39118999999982;-0.06248994042000788;;
;Complément mode de garde;5912.097044;6384.452062;-472.3550180000002;-0.07398520866206171;;
;Prestation partagée d'éducation ;865.290457;918.858011;-53.56755400000009;-0.0582979669967747;;
;Total prestation d'accueil du jeune enfant;10458.887396999999;11230.201159;-771.3137620000016;-0.06868209670330461;;
;Allocation journ. présence parentale;96.695077;96.229574;0.4655029999999982;0.0048374213939677;;
;Allocation éducation enfant handicapé;1162.324626;1059.990682;102.33394399999997;0.0965423052652834;;
;Frais de tutelle des mineurs;59.0;58.1;0.8999999999999986;0.015490533562822595;;
;Autres prestations;80.0;108.0;-28;-0.2592592592592593;;
;Total autres prestations;1398.0197030000002;1322.320256;75.69944700000019;0.057247438097174586;;
;Total des prestations légales;31294.842145000002;31406.948501;-112.1063559999966;-0.003569476225823931;;
;;;;;;;
;Source : comptes combinés de la branche famille et CCSS de juin 2021;;;;;;
