En Md€;"CCSS
2021 (p)";;"LFSS 
2021 (p)";Écart;;Réalisé 2020;Écart ;;;;
Maladie;-31.0;;-23.7;-7.300000000000001;;-30.4;-0.6000000000000014;;;;
AT-MP;0.3;;0.2;0.09999999999999998;;-0.2;0.5;;;;
Vieillesse;-4.4;;-9.7;5.299999999999999;;-3.7;-0.7000000000000002;;;;
Famille;0.5;;0.3;0.2;;-1.8;2.3;;;;
Autonomie;-1.2;;-0.4;-0.7999999999999999;;-;-;;;;
Régime général;-35.7;;-33.300000000000004;-2.3999999999999986;;-36.2;0.5;;;;
FSV;-2.6;;-2.4;-0.20000000000000018;;-2.5;-0.10000000000000009;;;;
Régime général et FSV;-38.4;;-35.8;-2.6000000000000014;;-38.7;0.30000000000000426;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Source : Cour des comptes d’après le rapport de la CCSS de juin 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ROBSS;;;-32.5;32.5;;-37.2;37.2;;;;
ROBSS et FSV;;;-34.89999999999998;34.89999999999998;;-39.7;39.7;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;Recettes 2021 LFSS;Dépenses 2021 LFSS;;Soldes 2020 LFSS;Ecart
;;;;;;;193.9;217.6;;-33.7;10.000000000000004
;;;;;;;12.8;12.7;;-0.4;0.6000000000000001
;;;;;;;135;144.7;;-8.6;-1.0999999999999996
;;;;;;;49.6;49.3;;-3.5;3.8
;;;;;;;31.2;31.6;;0;-0.4
;;;;;;;408.6;442;;-46.1;12.900000000000004
;;;;;;;16.7;19.2;;-2.9;0.5
;;;;;;;407.9;443.7;;-49;13.400000000000004
;;;;;;;;;;;
;;;;;;;519.5;552;;-47.8;15.299999999999997
;;;;;;;517.5;552.4;;-50.7;15.800000000000026
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;-33.39999999999998;;;
;;;;;;;;-34.89999999999998;;;
