En Md€;"CCSS
2021 (p)";;LFSS         2021 (p);Écart ;Écart             en %;;Réalisé 2020;Écart .1;"Écart 
en %"
Cot. sociales brutes;202.7;;201.4;1.299999999999983;0.006454816285997929;;191.9;10.799999999999983;0.0562793121417404
Cot. prises en charge par l’État;7.6;;5.8;1.7999999999999998;0.31034482758620685;;6.5;1.0999999999999996;0.16923076923076918
CSG brute;103.7;;104.4;-0.7000000000000028;-0.0067049808429119045;;97.3;6.400000000000006;0.06577595066803706
Impôts, taxes, autres contrib.;91.6;;88.0;3.5999999999999943;0.040909090909090846;;85.2;6.3999999999999915;0.07511737089201867
Charges de non-recouvrement;-3.0;;-2.2;-0.7999999999999998;0.36363636363636354;;-7.5;4.5;-0.6
Transferts nets reçus;3.5;;2.2;1.2999999999999998;0.5909090909090908;;8.9;-5.4;-0.6067415730337079
Autres produits nets;7.9;;8.2;-0.29999999999999893;-0.03658536585365841;;8.3;-0.40000000000000036;-0.04819277108433739
Total des produits RG + FSV;414.0;;407.9;6.100000000000023;0.014954645746506554;;390.8;23.19999999999999;0.059365404298874075
;;;;;;;;;
Maladie;196.9;;193.9;3.0;0.015471892728210417;;208.3;-11.400000000000006;-0.054728756601056194
AT-MP;13.0;;12.8;0.1999999999999993;0.015624999999999944;;12.1;0.9000000000000004;0.07438016528925623
Vieillesse;138.2;;135.0;3.1999999999999886;0.02370370370370362;;135.9;2.299999999999983;0.016924208977188982
Famille;49.8;;49.6;0.19999999999999574;0.004032258064516043;;48.2;1.5999999999999943;0.03319502074688785
Autonomie;30.9;;31.2;-0.3000000000000007;-0.009615384615384638;;--;--;--
RG;415.0;;408.6;6.399999999999977;0.0156632403328438;;391.6;23.399999999999977;0.05975485188968329
FSV;16.7;;16.7;0.0;0.0;;16.7;0;0
RG + FSV;414.0;;407.9;6.100000000000023;0.014954645746506554;;390.8;23.19999999999999;0.059365404298874075
