;actualisation de la prévision de l’Ondam 2021 par le comité d’alerte du 1er juin 2021;;;
;;;;
;En Md€;Provision LFSS 2021;Dépenses additionnelles;Total
;Vaccination ;1.5;3.1;4.6
;   dont dotation SPF;0.7;2.5;3.2
;   dont campagne vaccinale;0.8;0.6;1.4
;Tests de dépistage;2;2.9;4.9
;Établissements de santé;-;1.4;1.4
;SPF hors vaccination;0.1;1;1.1
;Autres mesures;0.7;0.7;1.4
;   dont indemnités journalières Covid;-;0.6;0.6
;   dont établissements médico-sociaux;-;0.3;0.3
;   dont FIR;-;0.3;0.3
;   dont masques;0.7;-0.5;0.2
;Total mesures exceptionnelles;4.3;9.1;13.4
;;;;
;Source comité d'alerte au 1er juin;;;
