Comparaison des soldes 2020 avec la prévision initiale;;;;;;;
;;;;;;;
En Md€;Réalisé 2020;;LFSS 2020;Écart;;Réalisé 2019;Écart
Maladie;-30.4;;-3.3;-27.1;;-1.5;-28.9
AT-MP;-0.2;;1.4;-1.6;;1;-1.2
Famille;-1.8;;0.7;-2.5;;1.5;-3.3
Vieillesse;-3.7;;-2.7;-1;;-1.4;-2.3
Régime général;-36.2;;-4.1;-32.1;;-0.4;-35.8
FSV;-2.5;;-1.4;-1.1;;-1.6;-0.9
Vieillesse + FSV;-6.2;;-4.1;-2.1;;-3;-3.2
Total RG + FSV;-38.7;;-5.4;-33.2;;-1.9;-36.8
Régimes obligatoires de base;-37.3;;-4.5;-32.8;;-0.1;-37.199999999999996
Total ROB + FSV;-39.7;;-5.9;-33.8;;-1.7;-38
;;;;;;;
Cour des comptes d’après la LFSS 2020 et les comptes définitifs 2019 et 2020;;;;;;;
