;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Réalisé 2019 à périmètre 2020;Objectif 2020 initial;Objectif 2020 révisé;A - Réalisé 2020 provisoire;"B - Écart à l'objectif 2020 initial 
(LFSS 2020)";
;En M€;"Réalisé 
2020 (p)";;;;;LFSS 2020;Écart ;"Écart 
en %";;"Réalisé 
2019";Écart ;"Écart 
en %";;;;;;;;
;Honoraires médicaux et dentaires ;23447.572956239994;;;;;25514.769828115946;-2067.1968718759526;-0.08101961670835883;;24684.801825209994;-1237.22886897;-0.050121077646507486;;Soins de ville;91319.57766590324;93575.4234529357;93841.09114051874;94918.50166952929;-182.3564753274868;
;dont médecins généralistes;5869.2259426;;;;;6226.706658437079;-357.4807158370786;-0.05741088113612972;;6205.897511479999;-336.67156887999863;-0.054250262473269285;;Produits de santé;29768.642118933243;29793.68689601451;29550.002874274014;29784.044085459285;1503.2111395012325;
;dont médecins spécialistes;11876.324412979997;;;;;13037.05024628148;-1160.7258333014834;-0.08903285723183846;;12646.354729109999;-770.0303161300017;-0.0608895078957028;;Médicaments net des remises conventionnelles;22366.71978843324;22212.943242447025;22151.702874274015;22385.656907219287;-2067.1968718759526;
;dont chirurgiens-dentistes;3602.01378124;;;;;4199.624928791514;-597.6111475515145;-0.14230107633051967;;3882.80738162;-280.79360038000004;-0.07231715941130365;;Médicaments dont rétrocession;24090.65557002333;24039.179312535078;24380.6;24908.62508218;-357.4807158370786;
;Honoraires paramédicaux;13326.551980130002;;;;;13918.783870047913;-592.2318899179118;-0.04254911172177524;;13260.4378522;66.1141279300009;0.004985817864153867;;Médicaments vendus en officine;21676.99182260333;21620;22163;22530.119361099998;-1160.7258333014834;
;dont infirmiers;8756.953474220001;;;;;8562.242431768787;194.71104245121387;0.022740659821633955;;8122.769768529999;634.1837056900022;0.078074809918535;;Rétrocession hospitalière;2413.6637474200006;2419;2218;2378.505721080001;-597.6111475515145;
;dont masseurs-kinésithérapeutes;3754.6490533300002;;;;;4402.457395960341;-647.808342630341;-0.14714698732229972;;4219.3176102200005;-464.6685568900002;-0.11012884068373602;;Remises conventionnelles;-1723.9357815900887;-1826.2360700880517;-2228.8971257259855;-2522.9681749607103;-592.2318899179118;
;Biologie;5302.3309290100015;;;;;3529.6667553778843;1772.6641736321171;0.5022185652317585;;3561.9508663600004;1740.380062650001;0.48860305151500194;;Dispositifs médicaux ;7401.922330500001;7580.743653567486;7398.3;7398.387178239999;194.71104245121387;
;dont tests diagnostiques;1924;;;;;;1924;;;;1924;;;Hors produits de santé;61550.866928669995;63631.246444568766;64291.08826624471;65134.45758407;-647.808342630341;
;Transport des malades;4251.01062557;;;;;4877.49465136763;-626.4840257976293;-0.12844381605256416;;4694.783015490001;-443.77238992000093;-0.09452457940139408;;Honoraires médicaux et dentaires;24684.801825209994;25514.769828115946;23562.9;23447.572956239994;1772.6641736321171;-2067.1968718759526
;Indemnités journalières;15516.74239434;;;;;12731.491279268243;2785.2511150717582;0.21876864649840486;;12329.884206670002;3186.858187669999;0.25846618948343647;;dont médecins généralistes;6205.897511479999;6226.706658437079;n/c;5869.2259426;1924;
;dont IJ dérogatoires;1612;;;;;;1612;;;;1612;;;dont médecins spécialistes;12646.354729109999;13037.05024628148;n/c;11876.324412979997;-626.4840257976293;
;Prise en charge cotisations;2559.7719977799998;;;;;2659.4154490087153;-99.64345122871555;-0.037468177928295175;;2609.8117721899994;-50.03977440999961;-0.0191737101285313;;dont chirurgiens-dentistes;3882.80738162;4199.624928791514;n/c;3602.01378124;2785.2511150717582;
;Dipa (compens. perte d'activité);1450.000028;;;;;;1450.000028;;;;1450.000028;;;Honoraires paramédicaux;13260.4378522;13918.783870047913;12997.891851248061;13326.551980130002;1612;
;Contrib. org. complémentaires;-970.6888966900001;;;;;;-970.6888966900001;;;;-970.6888966900001;;;dont infirmiers;8122.769768529999;8562.242431768787;n/c;8756.953474220001;-99.64345122871555;
;Autres dépenses;251.1655696900002;;;;;399.6246113824325;-148.45904169243227;-0.37149624288369976;;409.19739055;-158.0318208599998;-0.3861994834512265;;dont masseurs-kinésithérapeutes;4219.3176102200005;4402.457395960341;n/c;3754.6490533300002;-984.98067596;
;Total ville hors produits de santé;65134.45758407;;;;;63631.24644456876;1503.2111395012398;0.023623788995092775;;61550.86692866999;3583.5906554000103;0.058221611395871294;;Biologie;3561.9508663600004;3529.6667553778843;5240.3;5302.3309290100015;-970.6888966900001;
;Médicaments;24908.62508218;;;;;24039.179312535078;869.4457696449208;0.03616786406645562;;24090.65557002333;817.9695121566692;0.03395380876120662;;Dont tests diagnostics;0;;1827;1924;1450.000028;
;Remises conventionnelles;-2522.9681749607103;;;;;-1826.2360700880517;-696.7321048726585;0.3815126183763667;;-1723.9357815900887;-799.0323933706215;0.46349313118475116;;Transports des malades;4694.783015490001;4877.49465136763;4278.2464149966545;4251.01062557;-134.1672624224324;
;Dispositifs médicaux;7398.387178239999;;;;;7580.743653567486;-182.3564753274868;-0.02405522250335825;;7401.922330500001;-3.535152260002178;-0.00047759921033424;;Indemnités journalières;12329.884206670002;12731.491279268243;14867.3;15516.74239434;-150;
;Total produits de santé;29784.044085459285;;;;;29793.68689601451;-9.642810555225878;-0.00032365281238542495;;29768.642118933243;15.401966526042088;0.0005173889512496856;;Dont mesures liés aux arrêts de travail;0;;2036;1612;1612;
